,Title,Zone,Price,Size (m²),Status
189,T4+1 Duplex Pinhais da Foz,               Aldoar,1250000,367.0,Usado
190,T2 Matosinhos Sul primeira linha de mar,               Matosinhos-Sul (Matosinhos),550000,123.0,Usado
191,T5 no Palácio da Enseada em Matosinhos Sul,               Matosinhos e Leça da Palmeira,1100000,286.0,Usado
192,Apartamento Triplex T3 para Venda na Figueira da Foz,               Figueira da Foz (São Julião (Figueira da Foz)),,225.0,Usado
193,Apartamento T3 em Construção para Venda em Braga,               Real,,135.0,Em construção
194,Apartamento T2 em Construção para Venda em Braga,               Real,,103.0,Em construção
195,"T2 com Terraços - Campo de Ourique, construção de 2018",               Campo de Ourique,620000,96.0,Recuperado
196,Excelente apartamento T3 na conceituada urbanização da Anta da Agualva,               Urbanização da Anta (Agualva),275000,167.0,Recuperado
197,"Apartamento T3, Albufeira Green Apartments - Condominio privado",               Correeira (Albufeira),430000,154.0,Em construção
198,Apartment,               Algodeia (São Julião),398000,190.0,Recuperado
199,Apartment,               São Pedro do Estoril (Estoril),145000,85.0,Usado
200,Apartment,               Av.Forças Armadas (Nossa Senhora de Fátima),550,98.0,Usado
201,Apartamento T3,               Aver-O-Mar,3,150.0,Usado
202,Apartamento T2,               Vila do Conde,2,110.0,Renovado
203,Apartamento T3+1 em Vila do Conde,               Vila do Conde,31,141.0,Usado
204,Apartamento T3 vista de Mar,               Póvoa de Varzim,3,125.0,Usado
205,"Apartamento T2, Albufeira Green Apartments - Condominio privado",               Albufeira e Olhos de Água,505000,239.0,Em construção
206,Apartamento T3 no Parque da Devesa,               Vila Nova de Famalicão e Calendário,3,176.0,Usado
207,Apartamento T3,               Ocidental (Calendário),3,160.0,Novo
208,"Apartamento Remodelado com óptimos acabamentos, ao centro da Maia.",               Cidade da Maia,165000,105.0,Renovado
209,"Apartamento T2, Parede",               Carcavelos e Parede,1600,78.0,Usado
210,Novo Apartamento T2 com Varanda à Santa Rita,               Monte da Costa,175000,100.0,Em construção
211,"Apartamento T3 com terraço de acesso privativo em Duplex na cobertura, Seixal (Grande Lisboa) em condomínio fechado com piscina panorâmica na cobertura",               Quinta da Trindade   (Seixal),924000,310.0,Em construção
212,"Apartamento T2, Albufeira, com boas varandas em condomínio fechado com piscina e jardim em bairro residencial calmo",               Correeira (Albufeira),309000,120.0,Em construção
213,Penthouse com Varanda 84m2 entre Matosinhos Sul e o Parque da Cidade,               Matosinhos e Leça da Palmeira,725000,263.0,Novo
214,Espectacular apartamento T4 no centro da Maia,               Centro (Maia),435000,176.0,Usado
215,T3 em condomínio de luxo com vista mar na Foz do Douro,               Foz (Foz do Douro),740000,156.0,Usado
216,Empreendimento Jardins Efanor,               São Mamede de Infesta e Senhora da Hora,683638,261.0,Usado
217,T4+1 Duplex Pinhais da Foz,               Aldoar,1250000,367.0,Usado
218,T2 Matosinhos Sul primeira linha de mar,               Matosinhos-Sul (Matosinhos),550000,123.0,Usado
219,T5 no Palácio da Enseada em Matosinhos Sul,               Matosinhos e Leça da Palmeira,1100000,286.0,Usado
220,Apartamento Triplex T3 para Venda na Figueira da Foz,               Figueira da Foz (São Julião (Figueira da Foz)),,225.0,Usado
221,Apartamento T3 em Construção para Venda em Braga,               Real,,135.0,Em construção
222,Apartamento T2 em Construção para Venda em Braga,               Real,,103.0,Em construção
223,"T2 com Terraços - Campo de Ourique, construção de 2018",               Campo de Ourique,620000,96.0,Recuperado
224,Excelente apartamento T3 na conceituada urbanização da Anta da Agualva,               Urbanização da Anta (Agualva),275000,167.0,Recuperado
225,"Apartamento T3, Albufeira Green Apartments - Condominio privado",               Correeira (Albufeira),430000,154.0,Em construção
226,Apartment,               Carvalhido,305000,72.0,Usado
227,Apartment,               Saldanha (Nossa Senhora de Fátima),1400,152.0,Usado
228,Apartment,               Miramar (Valadares),850,100.0,Recuperado
229,Apartamento T3,               Aver-O-Mar,3,150.0,Usado
230,Apartamento T2,               Vila do Conde,2,110.0,Renovado
231,Apartamento T3+1 em Vila do Conde,               Vila do Conde,31,141.0,Usado
232,Apartamento T3 vista de Mar,               Póvoa de Varzim,3,125.0,Usado
233,"Apartamento T2, Albufeira Green Apartments - Condominio privado",               Albufeira e Olhos de Água,505000,239.0,Em construção
234,Apartamento T3 no Parque da Devesa,               Vila Nova de Famalicão e Calendário,3,176.0,Usado
235,Apartamento T3,               Ocidental (Calendário),3,160.0,Novo
236,"Apartamento Remodelado com óptimos acabamentos, ao centro da Maia.",               Cidade da Maia,165000,105.0,Renovado
237,"Apartamento T2, Parede",               Carcavelos e Parede,1600,78.0,Usado
238,Novo Apartamento T2 com Varanda à Santa Rita,               Monte da Costa,175000,100.0,Em construção
239,"Apartamento T3 com terraço de acesso privativo em Duplex na cobertura, Seixal (Grande Lisboa) em condomínio fechado com piscina panorâmica na cobertura",               Quinta da Trindade   (Seixal),924000,310.0,Em construção
240,"Apartamento T2, Albufeira, com boas varandas em condomínio fechado com piscina e jardim em bairro residencial calmo",               Correeira (Albufeira),309000,120.0,Em construção
241,Penthouse com Varanda 84m2 entre Matosinhos Sul e o Parque da Cidade,               Matosinhos e Leça da Palmeira,725000,263.0,Novo
242,Espectacular apartamento T4 no centro da Maia,               Centro (Maia),435000,176.0,Usado
243,T3 em condomínio de luxo com vista mar na Foz do Douro,               Foz (Foz do Douro),740000,156.0,Usado
244,Empreendimento Jardins Efanor,               São Mamede de Infesta e Senhora da Hora,683638,261.0,Usado
245,T4+1 Duplex Pinhais da Foz,               Aldoar,1250000,367.0,Usado
246,T2 Matosinhos Sul primeira linha de mar,               Matosinhos-Sul (Matosinhos),550000,123.0,Usado
247,T5 no Palácio da Enseada em Matosinhos Sul,               Matosinhos e Leça da Palmeira,1100000,286.0,Usado
248,Apartamento Triplex T3 para Venda na Figueira da Foz,               Figueira da Foz (São Julião (Figueira da Foz)),,225.0,Usado
249,Apartamento T3 em Construção para Venda em Braga,               Real,,135.0,Em construção
250,Apartamento T2 em Construção para Venda em Braga,               Real,,103.0,Em construção
251,"T2 com Terraços - Campo de Ourique, construção de 2018",               Campo de Ourique,620000,96.0,Recuperado
252,Excelente apartamento T3 na conceituada urbanização da Anta da Agualva,               Urbanização da Anta (Agualva),275000,167.0,Recuperado
253,"Apartamento T3, Albufeira Green Apartments - Condominio privado",               Correeira (Albufeira),430000,154.0,Em construção
254,Apartment,               Montalvão (São Julião),690000,274.0,Usado
255,Apartment,               Damião de Góis (Cedofeita),1499000,110.0,Usado
256,Apartment,               Parque das Nações,195000,92.0,Usado
257,Apartamento T3,               Aver-O-Mar,3,150.0,Usado
258,Apartamento T2,               Vila do Conde,2,110.0,Renovado
259,Apartamento T3+1 em Vila do Conde,               Vila do Conde,31,141.0,Usado
260,Apartamento T3 vista de Mar,               Póvoa de Varzim,3,125.0,Usado
261,"Apartamento T2, Albufeira Green Apartments - Condominio privado",               Albufeira e Olhos de Água,505000,239.0,Em construção
262,Apartamento T3 no Parque da Devesa,               Vila Nova de Famalicão e Calendário,3,176.0,Usado
263,Apartamento T3,               Ocidental (Calendário),3,160.0,Novo
264,"Apartamento Remodelado com óptimos acabamentos, ao centro da Maia.",               Cidade da Maia,165000,105.0,Renovado
265,"Apartamento T2, Parede",               Carcavelos e Parede,1600,78.0,Usado
266,Novo Apartamento T2 com Varanda à Santa Rita,               Monte da Costa,175000,100.0,Em construção
267,"Apartamento T3 com terraço de acesso privativo em Duplex na cobertura, Seixal (Grande Lisboa) em condomínio fechado com piscina panorâmica na cobertura",               Quinta da Trindade   (Seixal),924000,310.0,Em construção
268,"Apartamento T2, Albufeira, com boas varandas em condomínio fechado com piscina e jardim em bairro residencial calmo",               Correeira (Albufeira),309000,120.0,Em construção
269,Penthouse com Varanda 84m2 entre Matosinhos Sul e o Parque da Cidade,               Matosinhos e Leça da Palmeira,725000,263.0,Novo
270,Espectacular apartamento T4 no centro da Maia,               Centro (Maia),435000,176.0,Usado
271,T3 em condomínio de luxo com vista mar na Foz do Douro,               Foz (Foz do Douro),740000,156.0,Usado
272,Empreendimento Jardins Efanor,               São Mamede de Infesta e Senhora da Hora,683638,261.0,Usado
273,T4+1 Duplex Pinhais da Foz,               Aldoar,1250000,367.0,Usado
274,T2 Matosinhos Sul primeira linha de mar,               Matosinhos-Sul (Matosinhos),550000,123.0,Usado
275,T5 no Palácio da Enseada em Matosinhos Sul,               Matosinhos e Leça da Palmeira,1100000,286.0,Usado
276,Apartamento Triplex T3 para Venda na Figueira da Foz,               Figueira da Foz (São Julião (Figueira da Foz)),,225.0,Usado
277,Apartamento T3 em Construção para Venda em Braga,               Real,,135.0,Em construção
278,Apartamento T2 em Construção para Venda em Braga,               Real,,103.0,Em construção
279,"T2 com Terraços - Campo de Ourique, construção de 2018",               Campo de Ourique,620000,96.0,Recuperado
280,Excelente apartamento T3 na conceituada urbanização da Anta da Agualva,               Urbanização da Anta (Agualva),275000,167.0,Recuperado
281,"Apartamento T3, Albufeira Green Apartments - Condominio privado",               Correeira (Albufeira),430000,154.0,Em construção
282,Apartment,               Centro (Lapa),695,80.0,Renovado
283,Apartment,               Aveiro (Vera Cruz),140000,105.0,Usado
284,Apartment,               Quinta do Infante (Sé),3400,40.0,Usado
285,Apartamento T3,               Aver-O-Mar,3,150.0,Usado
286,Apartamento T2,               Vila do Conde,2,110.0,Renovado
287,Apartamento T3+1 em Vila do Conde,               Vila do Conde,31,141.0,Usado
288,Apartamento T3 vista de Mar,               Póvoa de Varzim,3,125.0,Usado
